Tags,标签
All,全站
Top tag list,热门标签列表
Top 10 tag block,热门标签区块
Tag Cloud,标签云
Top tag cloud block,热门标签云区块
The latest tag,最新关联标签
Relationships,关联关系
Statistics,统计
Verify,校验
search result,搜索结果
All tags,全站标签
Search,搜索
not found,未发现
Try some other words,尝试输入其他关键词
Delete,删除
tags relationships,标签关联关系
not related an obj in ,没有相关的对象 
Term,名称
Count,数量
Operation,操作
Tag Name,标签名称
Item,关联名称
Type,类型
Time,时间
Staticstics,统计
Global Top tags,全站热门标签
No,编号
Latest tags,最新关联标签
Link time,关联时间
Invalid links,无效链接
Module,模块
Congratulations,恭喜
No invalid link found.,未发现无效链接
Title,标题
No invalid tag found,未发现无效标签
Limit,数量
Block display item count,区块显示数量
Color,颜色
Set tag cloud color,设置标签颜色
Max font size,最大字体
Set max font size,设置最大字体
Min font size,最小字体
Set min font size,设置最小字体
Link Time,关联时间